id,first_name,last_name,birthdate,gender,score
1,Coletta,Greensitt,24/4/2004,F,0.375
2,Lucho,Kuhnert,19/8/1975,M,0.5883
3,Arley,Kettlesting,17/1/1997,M,0.1853
4,Roland,Sommerfeld,24/10/1953,M,0.7355
5,Tawsha,Amdohr,23/4/1958,F,0.2688
6,Mark,Chmiel,6/7/1963,M,0.1059
7,Broderick,Janout,7/11/1979,M,0.9342
8,Glendon,Berger,11/9/1978,M,0.6249
9,Noel,Titley,7/10/1959,M,0.2285
10,Petunia,Orrah,9/2/2001,F,0.754
11,Lizzie,Quan,17/2/1956,F,0.6796
12,Grethel,Vacher,21/6/1986,F,0.3209
13,Gusti,McIlherran,8/4/2006,F,0.3666
14,Ernie,Fillimore,9/9/1975,M,0.7426
15,Ximenez,Wadeson,10/5/1950,M,0.6897
16,Shandie,Brauner,5/10/1982,F,0.4258
17,Burl,Lghan,10/7/1950,M,0.618
18,Constancy,Gallamore,4/1/1986,F,0.3673
19,Lavena,Franken,9/7/2016,F,0.7674
20,Webster,Standering,17/8/1989,M,0.4397
21,Kirk,McCurtin,10/1/2002,M,0.2787
22,Clayton,Roughley,12/11/1983,M,0.2856
23,Jonell,Melloi,28/10/1999,F,0.413
24,Moyra,Meins,21/11/1951,F,0.482
25,Lona,Leverson,20/9/2010,F,0.9598
26,Abrahan,Antonetti,8/11/1981,M,0.3923
27,Sofia,O'Hara,6/8/1956,F,0.9243
28,Boris,Thomton,29/6/1970,M,0.1986
29,Edmund,Vigors,19/2/1997,M,0.2284
30,Nevil,Bigley,10/7/2005,M,0.4269
31,Duffy,Mc Dermid,1/4/2014,M,0.7906
32,Ebonee,Dalliwatr,13/3/1953,F,0.405
33,Maribeth,Bernhardt,27/5/2012,F,0.0431
34,Alain,Skillanders,18/10/2008,M,0.2768
35,Iggie,Cowdray,30/11/1963,M,0.0274
36,Burnaby,Molineaux,14/11/2003,M,0.0864
37,Miguelita,Austing,26/6/1984,F,0.0653
38,Manon,Insoll,6/8/1984,F,0.3456
39,Blayne,Carragher,8/6/1974,M,0.5632
40,Emeline,Nussgen,25/4/2001,F,0.6808
41,Eleanora,Creboe,19/11/1956,F,0.1007
42,Jaquenetta,Hillatt,4/5/1951,F,0.4337
43,Carver,Swyn,23/7/2000,M,0.7098
44,Ogdan,Algie,18/4/2002,M,0.0529
45,Fabiano,Lottrington,26/11/1952,M,0.1655
46,Germayne,MacNeice,22/1/1953,M,0.5374
47,Lin,Sandy,9/9/2015,M,0.2716
48,Arluene,Currier,9/7/1973,F,0.6611
49,Herschel,Scollard,28/4/1962,M,0.2135
50,Ardelle,Scoullar,23/2/1974,F,0.0884
