ID,Name,Last Name,Time 1,Time 2,Time 3,Time 4,Time 5

1,John,Smith,01:59.73,02:02.34,02:00.89,01:59.14,02:00.71
2,Mary,Johnson,02:06.27,02:04.55,02:01.42,02:04.01,02:03.14
3,Michael,Williams,02:08.67,02:02.99,01:59.26,02:05.93,02:03.09
4,Jennifer,Brown,01:59.86,02:01.47,02:04.91,02:02.10,02:01.26
5,James,Jones,02:06.14,02:03.22,01:59.39,02:02.71,02:05.93
6,Linda,Miller,02:03.48,01:59.82,02:03.09,02:02.64,01:59.44
7,William,Davis,02:04.01,02:00.28,02:05.12,02:03.97,02:00.85
8,Patricia,Garcia,02:05.68,02:04.39,01:59.97,02:02.74,01:59.66
9,Robert,Rodriguez,02:02.17,02:03.71,02:03.32,02:00.61,01:59.82
10,Elizabeth,Smith,01:59.22,02:00.98,02:03.82,02:00.26,02:03.05
11,David,Johnson,02:02.93,02:00.52,02:02.41,02:04.47,02:02.19
12,Susan,Williams,02:00.35,02:03.73,02:03.91,02:00.86,01:59.19
13,Joseph,Brown,02:01.64,02:00.17,02:04.19,02:03.34,02:01.11
14,Jessica,Jones,01:59.98,02:02.29,02:03.75,01:59.68,02:02.77
15,Thomas,Miller,02:02.80,01:59.36,02:03.48,02:02.53,02:01.44
16,Sarah,Davis,02:00.62,02:04.82,02:03.12,02:01.71,01:59.32
17,Charles,Garcia,02:04.09,02:02.41,02:00.98,02:00.31,02:04.38
18,Sarah,Johnson,02:00.09,02:04.56,02:02.93,02:00.89,01:59.41
19,Matthew,Williams,02:01.67,02:04.38,02:01.92,01:59.26,02:02.91
20,Karen,Brown,01:59.77,02:03.19,02:04.15,02:03.34,02:02.08
21,Christopher,Jones,02:01.53,01:59.64,02:02.11,02:03.99,01:59.83
22,Amanda,Miller,02:01.28,02:03.07,02:01.59,02:04.32,02:01.85
23,Andrew,Davis,02:02.11,01:59.91,02:00.84,02:03.18,02:02.57
24,Anna,Garcia,01:59.98,02:02.15,02:04.79,02:03.03,01:59.75
25,Joshua,Rodriguez,02:03.46,02:01.09,02:03.18,01:59.95,02:02.73
26,Rebecca,Smith,02:02.02,01:59.63,02:04.22,02:03.52,01:59.78
27,David,Johnson,02:00.56,02:03.42,02:01.87,02:04.15,02:02.09
28,Stephanie,Williams,02:03.71,02:01.97,01:59.59,02:03.11,02:00.81
29,Daniel,Brown,01:59.54,02:02.82,02:04.14,02:02.67,02:01.99
30,Emily,Jones,02:01.82,02:04.06,02:00.66,02:02.38,01:59.78
31,Matthew,Miller,02:00.29,02:03.58,02:03.77,02:02.21,02:00.48
32,Christina,Davis,01:59.90,02:03.02,02:04.28,01:59.69,02:01.82
33,Brian,Garcia,02:03.84,02:00.45,02:02.26,02:01.96,02:03.64
34,Nicole,Johnson,02:01.78,02:02.31,02:00.18,02:03.22,01:59.99
35,Justin,Williams,02:02.95,02:01.38,02:03.68,01:59.21,02:03.56
36,Samantha,Brown,02:00.91,02:04.24,02:02.48,01:59.37,02:01.99
37,Jonathan,Jones,02:04.13,02:00.87,02:02.73,02:01.08,02:04.03
38,Heather,Miller,02:02.02,01:59.94,02:03.36,02:04.62,01:59.58
39,Brandon,Davis,02:00.45,02:03.12,01:59.41,02:02.79,02:03.85
40,Ashley,Garcia,02:03.47,01:59.73,02:00.98,02:03.39,02:01.94
41,Zachary,Smith,02:02.71,02:03.93,01:59.52,02:00.71,02:04.05
42,Megan,Johnson,02:03.14,02:01.27,02:02.62,01:59.88,02:04.11
43,Steven,Williams,01:59.63,02:02.85,02:04.04,02:02.18,02:00.79
44,Amanda,Brown,02:00.78,02:04.06,02:01.95,02:02.33,01:59.72
45,Nathan,Jones,02:01.99,02:03.11,02:00.87,02:04.22,02:01.68
46,Alexis,Miller,02:02.01,02:00.61,02:04.01,01:59.84,02:03.25
47,Andrew,Davis,02:03.18,02:01.41,02:02.99,01:59.68,02:03.82
48,Ashley,Garcia,01:59.32,02:03.27,02:03.86,02:01.75,02:00.51
49,Jonathan,Johnson,02:04.08,02:00.95,01:59.44,02:03.61,02:02.51
50,Hannah,Williams,02:01.84,02:04.18,02:02.03,02:00.77,02:03.39
